Defect ID,Feature ID,Description,Severity,Reproduction Steps,Expected Result,Actual Result,Root Cause Hypothesis,Status,Found,Verification
D-035,F-ST-011,No request-body validation at src/app/api/flashcards/route.ts:28-29: bookSlug/chapterNum are not checked before use. A missing bookSlug passes undefined into findUnique({ where: { slug: undefined } }) and chapterNum string/number coercion is not enforced against the Int schema.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Body destructured and used directly without presence/type guards.,Open,2026-06-26,
D-036,F-ST-011,No authentication or rate limiting on a paid AI + write endpoint (src/app/api/flashcards/route.ts:27). Any caller can incur Z.ai cost and create rows.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Endpoint ships without auth middleware or throttling.,Open,2026-06-26,
D-037,F-ST-013,Deleting a non-existent id at src/app/api/flashcards/route.ts:150 calls db.flashcard.delete without catching Prisma's RecordNotFound (P2025); the error is unhandled and surfaces as a 500 instead of a 404.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No existence check or try/catch around delete; relies on caller supplying a valid id.,Open,2026-06-26,
D-038,F-ST-016,"Updating a non-existent id at src/app/api/notes/route.ts:48 calls db.note.update without catching Prisma's P2025 RecordNotFound, surfacing as a 500 rather than a 404.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No existence check or try/catch; consistent with the delete handlers lacking not-found handling.,Open,2026-06-26,
D-039,F-ST-017,"Deleting a non-existent id at src/app/api/notes/route.ts:63 calls db.note.delete without catching Prisma P2025, surfacing as a 500 instead of 404.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No existence check or try/catch around the delete.,Open,2026-06-26,
D-040,F-ED-001,No authentication on any evidence endpoint; private-research-layer evidence is world-readable via GET /api/evidence (route.ts:7-36),high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Auth was never implemented; the 3-layer architecture assumes a network boundary that does not exist in code,Open,2026-06-26,
D-041,F-ED-001,"ref and sourceId branches have no take limit unlike the default branch (route.ts:13,22 vs 33), so a hot scriptureRef returns an unbounded result set",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,take:200 was only added to the fallback branch; the filtered branches were assumed to be naturally small,Open,2026-06-26,
D-042,F-ED-002,confidence accepted with no range validation; schema comment says 0..1 (route.ts:53; schema.prisma:198) but any number is persisted,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Only a typeof check was added; bounds clamping was never implemented,Open,2026-06-26,
D-043,F-ED-002,PATCH on a nonexistent id throws an unhandled Prisma error → generic 500 instead of 404 (route.ts:49),low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No try/catch around db.evidence.update; missing-record case not handled,Open,2026-06-26,
D-044,F-ED-002,No authentication — any caller can edit any evidence record (route.ts:39),medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Auth layer never built,Open,2026-06-26,
D-045,F-ED-003,"DELETE writes no AuditLog entry, so destructive removals are untraceable even though AuditLog enumerates a 'delete' action (route.ts:60-66; schema.prisma:247)",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Audit logging was only wired into review/publish POST handlers, not into evidence DELETE",Fixed — verified,2026-06-26,Evidence DELETE now writes an AuditLog 'delete' entry + 404 on missing id. Gate green.
D-046,F-ED-003,Deleting evidence leaves orphaned ReviewRecord and AuditLog rows (itemId is an unconstrained string) and leaves any published PublicArticle live (route.ts:64),medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,FK-by-id-string design has no referential integrity; publish path is one-way with no unpublish-on-delete,Open,2026-06-26,
D-047,F-ED-003,No authentication on DELETE — anyone can hard-delete research records (route.ts:60),medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Auth layer never built,Open,2026-06-26,
D-048,F-ED-004,"Comment says 'Get the latest ReviewRecord per item' but the query has no per-item dedupe/groupBy, so all versions are returned (route.ts:25-30)",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Versioning was added (version field, newVersion in POST) but the GET was never updated to select max(version) per item",Open,2026-06-26,
D-049,F-ED-004,"itemType 'source' is declared valid (VALID_ITEM_TYPES line 8) but has no hydration branch, so source review records never appear in the queue (route.ts:36-48,60)",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Source review was scoped into the type list but the hydration switch was never extended,Open,2026-06-26,
D-050,F-ED-004,counts omits 'archived' though it is a valid state (route.ts:62-69),low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Counts object hand-written and archived case forgotten,Open,2026-06-26,
D-051,F-ED-004,No auth — review queue and full audit log are world-readable (route.ts:10),low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Auth layer never built,Open,2026-06-26,
D-052,F-ED-005,"No state-machine transition guard: stateMap[action] is applied unconditionally, so any item can be approved from any state — including straight from 'draft' or re-approving a 'rejected' item (route.ts:98,142-167). The editorial gate can be bypassed.",critical,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Only an action→state map was implemented; no current-state precondition matrix was ever added,Fixed — verified,2026-06-26,Added editorial state-transition guard to review POST (409 on illegal transition). Verified logic + gate green.
D-053,F-ED-005,"No authorization: reviewer and reviewerRole come from the request body with defaults, so any caller can self-assign 'publisher'/'reviewer' and approve content (route.ts:76). There is zero authentication on the editorial gate.",critical,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Roles were modeled in the schema (reviewerRole/actorRole) but never enforced; no auth middleware exists,Open,2026-06-26,
D-054,F-ED-005,"Schema drift: request-revision writes 'needs-revision' to evidence.reviewState but the Evidence.reviewState enum comment (schema.prisma:204) does not include 'needs-revision' (review route VALID_STATES does, line 7).",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,needs-revision added to the review workflow after the evidence model comment was written; never reconciled,Fixed — verified,2026-06-26,Reconciled Evidence.reviewState schema comment to include 'needs-revision'. prisma validate OK.
D-055,F-ED-005,"itemType 'source' is accepted by VALID_ITEM_TYPES but has no item-update branch and Source has no reviewState field, so a ReviewRecord+AuditLog are created while the source itself is never transitioned (route.ts:86,142-167; schema.prisma:127-149)",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Source review was declared but never implemented on the model or the update switch,Open,2026-06-26,
D-056,F-ED-005,"Transitioning an approved item to rejected/archived/needs-revision resets publishedAt to null (route.ts:148,156,164), silently clearing the approval timestamp on de-approval",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,publishedAt is set inline by a ternary keyed only on newState=='approved' with no else-preserve logic,Open,2026-06-26,
D-057,F-ED-005,Checklist auto-compute only covers itemType=='evidence' (route.ts:103); public-article and topic-page transitions store a null checklist unless the caller supplies one,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Only the evidence checklist was implemented,Open,2026-06-26,
D-058,F-ED-006,"No authentication on the publish endpoint; actor/actorRole are hardcoded 'publisher' (route.ts:143-144) so any anonymous caller can push approved content live. Combined with F-ED-005's self-elevation, the whole approve→publish gate is bypassable.",critical,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Auth never implemented; publisher identity is faked as a constant,Open,2026-06-26,
D-059,F-ED-006,"corroborationScore and confidenceScore are hardcoded to 0.5 on create with comment 'computed later' and are never updated on re-publish (route.ts:119-120). The public 'how we vet' scores are fabricated, not derived from sources×perspectives as the schema comment promises (schema.prisma:293).",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Score computation was deferred and never built; placeholders shipped,Open,2026-06-26,
D-060,F-ED-006,"sourcesCount hardcoded to 1 (route.ts:121) regardless of how many independent sources corroborate the claim, undermining the corroboration model the public site advertises",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Single-evidence publish path assumed one source; multi-source aggregation never implemented,Open,2026-06-26,
D-061,F-ED-006,"On the update branch, perspectivesCount (and counts generally) are not recomputed (route.ts:94-106 vs create at 108-124), so counts drift on re-publish",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Create and update data objects were written separately; update omits the count fields,Open,2026-06-26,
D-062,F-ED-006,"One-way publish with no unpublish: if an evidence/topic-page is later rejected or archived via review, its already-published PublicArticle stays live with reviewState='approved' (route.ts hardcodes reviewState:'approved' on every publish; nothing reverts it)",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Publish path is explicitly one-way ('private → public'); no retraction handler exists,Open,2026-06-26,
D-063,F-ED-008,Public article list surfaces corroborationScore/confidenceScore that are hardcoded 0.5 placeholders set by the publish endpoint (route.ts:44-45 select; originate from publish/route.ts:119-120). Readers see fabricated trust signals.,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Inherited from F-ED-006's unimplemented score computation,Open,2026-06-26,
D-064,F-ED-009,"The topic page itself is served regardless of its reviewState; only its articles are gated to 'approved' (route.ts:56-66). Anyone with the slug can read the full bodyMarkdown of a draft/rejected/archived topic page, leaking unvetted content past the editorial gate.",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,The reviewState='approved' filter was applied to the nested publicArticles include but not to the top-level findUnique on TopicPage,Fixed — verified,2026-06-26,"Public topic page gated on reviewState='approved' (findFirst). Verified at runtime: unapproved slug -> HTTP 404, approved -> 200."
D-065,F-ED-010,"reviewStates, credibilityTiers and reviewRubric are hardcoded in the public route (route.ts:108-131) duplicating the canonical lists in review/route.ts VALID_STATES (line 7) and the schema comments (schema.prisma:133,204,232); they can silently drift",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No single source of truth for taxonomy constants; copied into each consumer,Open,2026-06-26,
D-066,F-ED-013,"GET /api/export dumps the entire private database (sources, evidence, notes, chat history) with zero authentication (route.ts:7-48). Full unauthenticated data exfiltration.",critical,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Export was built as an internal backup tool assuming a trusted/private deployment; no auth gate added,Open,2026-06-26,
D-067,F-ED-013,Loads and serializes the whole DB (including Source.rawHtml/content) in a single in-memory response with no streaming or pagination (route.ts:8-48),low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Simple all-at-once Promise.all backup; scale not considered,Open,2026-06-26,
D-068,F-ED-014,"Health endpoint (which surfaces auth status and account balance per the file header) has no authentication (route.ts:8-15), exposing provider account info to anyone",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Health route treated as internal/ops-only without an auth gate,Open,2026-06-26,
D-069,F-ED-015,"The computed checklist is purely informational — it is stored on the ReviewRecord but never gates the approve action (route.ts:101-119 vs 129-167). An evidence item that fails every rubric criterion (no source, self-published tier, no perspectives) can still be approved and published.",high,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Checklist computation and the state transition were built independently; no enforcement step ties failing criteria to a blocked transition,Open,2026-06-26,
D-070,F-ED-015,"noFabrication and authorityNotOverstated are hardcoded true (route.ts:114,116) so two of the seven rubric items are always 'passing' regardless of reality, weakening the checklist's signal",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,These two are intended to be human-confirmed but there is no mechanism to capture that confirmation; placeholders ship as true,Open,2026-06-26,
D-071,F-ED-015,"A caller-supplied checklist is stored verbatim with no validation (route.ts:102,136), so a client can fabricate an all-passing checklist",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,checklist defaults to the request body value before the evidence-only compute branch,Open,2026-06-26,
D-072,F-UI-001,"Active tab is not reflected in the URL or persisted; refresh always returns to 'study' (page.tsx:42). The header buttons are not marked with aria-current / role='tab' / aria-selected, so screen readers cannot announce which view is active.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Tab is plain useState with no router sync and no ARIA tab semantics on the custom buttons.,Open,2026-06-26,
D-073,F-UI-002,runSearch() has no try/catch around fetch/res.json() (page.tsx:95-101); a network failure or non-200 response throws an unhandled promise rejection and shows no error toast/message to the user.,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Only a try/finally is used (finally resets `searching`), with no catch and no error state — there is no useToast usage anywhere in page.tsx despite the Toaster being mounted in layout.",Open,2026-06-26,
D-074,F-UI-002,"Evidence result count is displayed (searchResults.evidence?.length, page.tsx:312) but evidence records are never rendered in the results list, only verses and sources are.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Incomplete results UI — evidence rendering block was never added.,Open,2026-06-26,
D-075,F-UI-003,"Trailing '...' is appended unconditionally to the verse snippet regardless of length (page.tsx:276), so short verses display a misleading ellipsis.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"`slice(0,80)` plus hard-coded '...' without a length check.",Open,2026-06-26,
D-076,F-UI-003,The clear (X) button on the indicator bar has no aria-label/title (page.tsx:277-286); screen-reader users get an unlabeled button.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Icon-only button without accessible name.,Open,2026-06-26,
D-077,F-UI-004,exportBackup() (page.tsx:104-114) has no try/catch and no loading/disabled state; an export failure throws silently with no user feedback.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Fire-and-forget async with no error handling or toast.,Open,2026-06-26,
D-078,F-UI-005,"User feedback for grow/scrape/publish relies on native window.alert/confirm (page.tsx:118,131,132,135) despite a shadcn Toaster being mounted in layout.tsx:183; inconsistent and blocking UX.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,useToast/Toaster infrastructure exists but is never wired into page.tsx; alerts used as a shortcut.,Open,2026-06-26,
D-079,F-UI-006,Health check result is never surfaced as a visible status indicator — it only conditionally disables the (mobile-hidden) Grow button. On mobile the entire health signal is invisible. The `model` field is fetched but never shown (page.tsx:54).,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Minimal use of health data; no dedicated status UI.,Open,2026-06-26,
D-080,F-UI-007,"page.tsx reimplements its own mobile detection (inline useEffect at page.tsx:57-66) instead of using the existing useIsMobile hook (src/hooks/use-mobile.ts), duplicating logic with a different start value (false vs undefined) and an undebounced resize handler.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Shared hook not adopted; ad-hoc inline implementation.,Open,2026-06-26,
D-081,F-UI-007,"Mobile bottom-nav buttons (page.tsx:370-396) have no aria-label or aria-current; active panel is conveyed only by color, hurting screen-reader and keyboard users.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Custom buttons without ARIA tab semantics.,Open,2026-06-26,
D-082,F-UI-008,"All three scripture fetches swallow errors with empty catch blocks (scripture-reader.tsx:83, 98-99, 131) and there is no error UI; an API failure is indistinguishable from an empty chapter ('No verses found.'), and the initial books fetch failing leaves the reader permanently blank with no retry.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Defensive empty catches with no error state variable or toast.,Open,2026-06-26,
D-083,F-UI-009,"Verse rows are clickable <div>s (scripture-reader.tsx:308-318) with onClick but no role='button', tabIndex, or keydown handler — verse selection is impossible via keyboard.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Div-as-button anti-pattern without ARIA/keyboard support.,Open,2026-06-26,
D-084,F-UI-009,copyVerse (scripture-reader.tsx:166-168) provides no success/failure feedback and no clipboard fallback; on rejection the promise is unhandled.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Fire-and-forget clipboard write.,Open,2026-06-26,
D-085,F-UI-009,"The per-verse Copy button only becomes visible on mouse hover via opacity (scripture-reader.tsx:341-344), making it unreachable for keyboard and touch users.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Hover-only affordance with no focus-within reveal.,Open,2026-06-26,
D-086,F-UI-011,Initial history fetch (chat-panel.tsx:31-40) swallows errors with .catch(()=>{}) and shows no indication if history failed to load.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Silent catch with no error state for the GET path (only POST sets error).,Open,2026-06-26,
D-087,F-UI-011,The Clear-history Trash button (chat-panel.tsx:112-119) and Send button (chat-panel.tsx:225-232) are icon-only with no aria-label/title.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Icon buttons missing accessible names.,Open,2026-06-26,
